French,English
chercher,search
seulement,only
police,police
pensais,thought
aide,help
genre,kind
mois,month
frère,brother
car,because
aucun,no
laisse,leash
eux,them
ville,city
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
aucune,any
place,square
compris,understood
savais,knew
voici,here is
affaire,case
donner,give
type,type
leurs,their
donné,given
corps,body
yeux,eyes
façon,way
écoute,listen
premier,first
perdu,lost
première,first
côté,side
sois,be
tiens,here
matin,morning
enfant,child
point,point
venu,came
suite,after
pardon,sorry
venez,come
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
droit,law
aimerais,would like to
cause,cause
espère,hope
eau,water
parti,left
nouvelle,new
boulot,job
dirait,would say
terre,Earth
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
